光学クライオスタット 300K→50K (180806; 1K/min),,光学クライオスタット 50K→300K (180806; 1K/min),,,PPMS 300K→100K (180709; 2K/min),,PPMS 100K→300K (180709; 2K/min),
260.05,0.032473,89.126,0.021746,,342.1038513,0.030986515,158.5949554,0.025432307
259.87,0.032493,89.303,0.021757,,341.8232574,0.031127121,158.8498459,0.025051432
259.7,0.0323,89.479,0.021948,,341.5669556,0.031118783,159.1046982,0.025457509
259.52,0.032472,89.657,0.021988,,341.2706451,0.031046933,159.3466034,0.025417741
259.34,0.032472,89.834,0.021776,,341.0219116,0.030925467,159.6018524,0.025501039
259.17,0.032496,90.012,0.021837,,340.7708435,0.031026314,159.8555984,0.025666964
258.99,0.032493,90.183,0.021968,,340.5137024,0.031042671,160.1148987,0.025603373
258.81,0.03224,90.356,0.022001,,340.2093964,0.030959109,160.3613968,0.025626268
258.63,0.03224,90.526,0.021988,,339.9424438,0.030783219,160.6112061,0.025616355
258.46,0.032361,90.701,0.02219,,339.6784515,0.030949181,160.8705978,0.025539787
258.28,0.032273,90.877,0.022018,,339.4155426,0.030907857,161.1208038,0.025714107
258.1,0.032209,91.055,0.022149,,339.1423035,0.030811718,161.3688507,0.025570309
257.93,0.03222,91.231,0.02227,,338.8850098,0.030813743,161.633606,0.025824078
257.75,0.032108,91.409,0.021998,,338.5948029,0.030746805,161.8764496,0.025681887
257.57,0.03226,91.588,0.02228,,338.3466949,0.030967464,162.1459427,0.025860735
257.4,0.03233,91.768,0.022049,,338.0856018,0.030768188,162.4012527,0.026076171
257.22,0.032149,91.947,0.022333,,337.817749,0.0309522,162.6604004,0.025939394
257.04,0.032198,92.124,0.022281,,337.5648041,0.030669673,162.9094009,0.026078715
256.87,0.032359,92.301,0.022172,,337.3003082,0.031036151,163.1700058,0.026086023
256.69,0.033621,92.477,0.022382,,337.0469971,0.03057803,163.4152985,0.026058364
256.51,0.032097,92.655,0.022443,,336.8013611,0.030580785,163.7111435,0.026028746
256.33,0.032027,92.828,0.022482,,336.5265045,0.030735349,163.9600983,0.026188727
256.16,0.032097,93.006,0.022362,,336.2595978,0.030619356,164.2487488,0.026170792
255.98,0.0321,93.182,0.022533,,336.0109406,0.030561993,164.5024948,0.026265034
255.81,0.032147,93.361,0.022734,,335.7439423,0.030721098,164.7597961,0.02625938
255.63,0.031765,93.54,0.022577,,335.4892426,0.030433694,165.0222015,0.026117506
255.45,0.032642,93.714,0.022533,,335.2221069,0.030380261,165.2730484,0.02633804
255.28,0.031976,93.886,0.022715,,334.9671936,0.030531446,165.5162506,0.026496501
255.1,0.032107,94.058,0.022583,,334.6864471,0.030548136,165.7712479,0.026524379
254.92,0.032067,94.233,0.022846,,334.4355469,0.030501662,166.0211487,0.026420445
254.75,0.032066,94.409,0.022704,,334.1756897,0.030377158,166.2742996,0.026456411
254.57,0.031996,94.584,0.022846,,333.9203949,0.030452022,166.5282516,0.026400096
254.4,0.032247,94.76,0.022855,,333.6504517,0.030547533,166.7822495,0.026564855
254.22,0.032116,94.936,0.022956,,333.3747101,0.030348925,167.0362549,0.02634668
254.04,0.032026,95.113,0.023328,,333.1378479,0.030252462,167.2768021,0.026620604
253.87,0.032197,95.293,0.022795,,332.8594513,0.030335178,167.5453568,0.026728221
253.69,0.032157,95.471,0.022834,,332.6177979,0.029937041,167.7877502,0.026691627
253.51,0.032199,95.649,0.023017,,332.3649445,0.030283248,168.0398483,0.026589252
253.34,0.031985,95.826,0.022996,,332.0993958,0.030290715,168.2917557,0.026745849
253.16,0.032097,96.002,0.022856,,331.848999,0.030232081,168.5438004,0.026825815
252.99,0.032096,96.177,0.022946,,331.5852051,0.030102479,168.798996,0.0268352
252.81,0.031885,96.353,0.023118,,331.3153992,0.030251937,169.0520477,0.027105622
252.63,0.032046,96.531,0.022815,,331.0767517,0.030351765,169.3143539,0.0268436
252.46,0.032036,96.709,0.023026,,330.8186493,0.030116,169.569397,0.027052204
252.28,0.031844,96.888,0.023127,,330.5600586,0.030272909,169.8526001,0.026905459
252.11,0.031754,97.066,0.022966,,330.3102112,0.030037341,170.1188965,0.027276049
251.93,0.0325,97.244,0.023137,,330.0582886,0.030063059,170.3705978,0.027002447
251.75,0.031936,97.427,0.02324,,329.7958527,0.030074761,170.618454,0.026818184
251.58,0.032045,97.605,0.023218,,329.5500031,0.030047853,170.8721466,0.02713151
251.4,0.031794,97.785,0.02341,,329.2567596,0.030006029,171.1441956,0.02730403
251.23,0.031924,97.957,0.023399,,329.0044403,0.029910486,171.4123535,0.027170459
251.05,0.031813,98.13,0.02343,,328.7367096,0.029963263,171.652298,0.0272557
250.87,0.031894,98.3,0.023258,,328.4980469,0.030223378,171.9002457,0.027239954
250.7,0.031844,98.475,0.0234,,328.2304077,0.029964026,172.1503448,0.027437175
250.52,0.031753,98.649,0.023289,,327.9842529,0.029975768,172.4157486,0.027389637
250.35,0.031653,98.829,0.02341,,327.7371521,0.029952571,172.6715469,0.027304899
250.17,0.031662,99.004,0.02338,,327.4864044,0.029802792,172.9380035,0.027453023
250,0.031661,99.18,0.023521,,327.2043457,0.029923551,173.178299,0.027419369
249.91,0.031742,99.353,0.023309,,326.94104,0.029790073,173.4444046,0.027436985
249.9,0.031752,99.528,0.023461,,326.6708374,0.02981587,173.6921463,0.027399019
249.89,0.031651,99.706,0.023651,,326.4155579,0.029667972,173.953598,0.027530155
249.9,0.031812,99.884,0.023531,,326.1658936,0.029814343,174.2092514,0.027369993
249.9,0.031502,100.06,0.023712,,325.911499,0.029869311,174.4593506,0.027689766
249.91,0.031438,100.24,0.023582,,325.6443939,0.029741793,174.7193527,0.027769351
249.91,0.03147,100.42,0.023823,,325.3838959,0.029467391,174.9748993,0.027640126
249.91,0.03158,100.6,0.023673,,325.125946,0.029644805,175.2229462,0.027565857
249.92,0.03147,100.78,0.023693,,324.8745422,0.029617474,175.5224991,0.027811956
249.92,0.03157,100.95,0.023844,,324.622345,0.029586764,175.7712021,0.027766807
249.92,0.03152,101.13,0.023843,,324.368454,0.029546248,176.0590515,0.02782112
249.92,0.03157,101.31,0.024065,,324.1004944,0.029689098,176.3171005,0.027786362
249.92,0.031549,101.49,0.023803,,323.8492889,0.029681445,176.5688019,0.027877633
249.92,0.031509,101.66,0.024077,,323.5582428,0.02963564,176.8213501,0.027928804
249.93,0.03161,101.84,0.023994,,323.2982941,0.029564438,177.0893936,0.027990659
249.93,0.031468,102.01,0.023994,,323.0447083,0.029475266,177.3508987,0.028381566
249.93,0.031367,102.19,0.024075,,322.7849426,0.02940419,177.6215973,0.028102157
249.93,0.03138,102.37,0.024146,,322.5193481,0.029449301,177.9069443,0.028279822
249.93,0.031509,102.54,0.024145,,322.249649,0.02952374,178.1754532,0.028148742
249.93,0.031298,102.72,0.024166,,321.9714966,0.029354604,178.4393997,0.027971192
249.93,0.031448,102.89,0.024236,,321.711853,0.029319756,178.6796494,0.028242676
249.93,0.031368,103.07,0.024115,,321.45961,0.02938286,178.9578018,0.028276443
249.93,0.031136,103.25,0.024054,,321.2005463,0.029426595,179.212204,0.028252603
249.93,0.031417,103.42,0.024205,,320.9503021,0.02933933,179.4740982,0.02811873
249.93,0.031307,103.6,0.024188,,320.7066956,0.029322299,179.7158966,0.02844047
249.93,0.031225,103.78,0.024176,,320.4479065,0.029319474,179.9682465,0.028701251
249.93,0.031427,103.96,0.024409,,320.184494,0.029207829,180.2568512,0.028387776
249.93,0.031427,104.13,0.024216,,319.8890991,0.029292745,180.5122528,0.028442975
249.94,0.031246,104.31,0.024388,,319.6308594,0.029406714,180.7857971,0.028502329
249.94,0.031326,104.48,0.024448,,319.3702545,0.029172847,181.0494003,0.028799085
249.94,0.031346,104.66,0.024297,,319.0998077,0.029073472,181.3055496,0.028534404
